screen_name,fav,rt,tweet,tweet_url
MinhazMerchant,1694,684,"Despite the “boycott” of #KanganaRanaut by a newly set up, agenda driven entertainment journalists’ guild,… https://t.co/jBg4IDBlwy",https://twitter.com/MinhazMerchant/status/1155374283029434368
BigSean,8157,1019,"some of y’all prolly already know this type of info, but man a couple months ago I got an allergy test and found ou… https://t.co/ekAYJImtT8",https://twitter.com/BigSean/status/1155318908246560769
JudicialWatch,3249,907,".@TomFitton on @JudgeJeanine on the #MuellerReport: ""Why is it that this investigation went on for a year and a hal… https://t.co/hsvycTi5Tt",https://twitter.com/JudicialWatch/status/1155153373160562690
mitchellvii,3266,1656,"I'm not sure a bunch of liberals in Silicon Valley should be determining the, ""integrity of our political conversat… https://t.co/nY1gGZcL2Y",https://twitter.com/mitchellvii/status/1155155963097309184
RichardDawkins,2962,807,"Anyone would think he had a credible majority in parliament, to see the way our joke Prime Minister is throwing his… https://t.co/Z9eYEKdZCn",https://twitter.com/RichardDawkins/status/1155135434353074176
Banks,13863,514,You could have cut @bugha’s points in half and he’d still be Top 5. Pretty incredible performance. Grats on the dub… https://t.co/8zKaGhcWK2,https://twitter.com/Banks/status/1155587549030690816
mitchellvii,1171,651,"USA Today reported that the 342 Baltimore homicides in 2017 represented a “homicide rate of 56 per 100,000 people.”… https://t.co/xngUj7ZAyb",https://twitter.com/mitchellvii/status/1155578528785731586
Amy_Siskind,1088,284,This makes 104.  We are at 44% of House Democrats- almost half. Keep calling! https://t.co/n9NtdZipud,https://twitter.com/Amy_Siskind/status/1155590738266284035
KamVTV,1052,471,How can a member of Congress afford a $4.5 million Los Angeles mansion that takes up half a city block in one of th… https://t.co/aSL79FKDn5,https://twitter.com/KamVTV/status/1155256289879945217
F1,2386,402,"2019 🤝 2004 at Hockenheim 🤩

@SchumacherMick paraded the Ferrari F2004 driven by his father, Michael, whilst wearin… https://t.co/JNsXYv7NIh",https://twitter.com/F1/status/1155436180231426050
catherinekelley,3177,289,proof that i was indeed in hawaii for work 🤨 #HobbsAndShaw was an absolute trip and a half!! can’t wait for you guy… https://t.co/v0NkZwNEa7,https://twitter.com/catherinekelley/status/1155486116071346176
DavidBegnaud,1380,457,"The resignation of the Puerto Rico Governors Secretary of Public Affairs, @AnthonyMaceira, will not make much of a… https://t.co/ZEhn6xq0pg",https://twitter.com/DavidBegnaud/status/1155554287361110017
RudyGiuliani,12835,1950,Not bad operating with half your liver gone. Ed Henry is a marvel. Two and a half weeks from donating part of his l… https://t.co/jYNKihhFf3,https://twitter.com/RudyGiuliani/status/1154938416628404225
RealDrGina,727,1069,Illegal Alien Broke Into North Carolina Home To Rape 9-Year-Old Girl https://t.co/utyNw9xtvw,https://twitter.com/RealDrGina/status/1155125928432943106
AshaRangappa_,10436,1113,"Actually that’s where I lived. I was a broke law student. Walked to work, passed Camden Yards every day. I not only… https://t.co/mumSeo9cNk",https://twitter.com/AshaRangappa_/status/1155135164885979137
kylegriffin1,2015,588,"Nadler: ""I think it was very important that [Mueller] testified ... He broke the lie that the president and the att… https://t.co/FRfzN8YmsC",https://twitter.com/kylegriffin1/status/1155500761939361792
